run_id,map_type,map_name,map_size,obstacle_ratio,task_id,start,goal,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1_rerun,dao,arena,49x49,0.1445,11,"28,25","30,21",4.828427,weighted_1.2,True,4.828427,1,5,0.0488,True
exp_v1_rerun,dao,arena,49x49,0.1445,11,"28,25","30,21",4.828427,improved_ours,True,4.472136,0,5,0.0881,True
exp_v1_rerun,dao,arena,49x49,0.1445,11,"28,25","30,21",4.828427,ablation_no_adapt,True,4.472136,0,7,0.0646,True
exp_v1_rerun,dao,arena,49x49,0.1445,11,"28,25","30,21",4.828427,ablation_no_smooth,True,4.828427,1,5,0.0846,True
exp_v1_rerun,dao,arena,49x49,0.1445,12,"9,11","3,15",7.656854,dijkstra,True,7.656854,1,163,1.0649,True
exp_v1_rerun,dao,arena,49x49,0.1445,12,"9,11","3,15",7.656854,astar_euclidean,True,7.656854,4,10,0.0824,True
exp_v1_rerun,dao,arena,49x49,0.1445,12,"9,11","3,15",7.656854,astar_octile,True,7.656854,1,7,0.0815,True
exp_v1_rerun,dao,arena,49x49,0.1445,12,"9,11","3,15",7.656854,weighted_1.2,True,7.656854,1,7,0.0685,True
exp_v1_rerun,dao,arena,49x49,0.1445,12,"9,11","3,15",7.656854,improved_ours,True,7.211103,0,7,0.1228,True
exp_v1_rerun,dao,arena,49x49,0.1445,12,"9,11","3,15",7.656854,ablation_no_adapt,True,7.211103,0,7,0.0674,True
exp_v1_rerun,dao,arena,49x49,0.1445,12,"9,11","3,15",7.656854,ablation_no_smooth,True,7.656854,1,7,0.1547,True
exp_v1_rerun,dao,arena,49x49,0.1445,13,"36,18","40,22",5.656854,dijkstra,True,5.656854,0,78,0.4529,True
exp_v1_rerun,dao,arena,49x49,0.1445,13,"36,18","40,22",5.656854,astar_euclidean,True,5.656854,0,5,0.0592,True
exp_v1_rerun,dao,arena,49x49,0.1445,13,"36,18","40,22",5.656854,astar_octile,True,5.656854,0,5,0.0564,True
exp_v1_rerun,dao,arena,49x49,0.1445,13,"36,18","40,22",5.656854,weighted_1.2,True,5.656854,0,5,0.0539,True
exp_v1_rerun,dao,arena,49x49,0.1445,13,"36,18","40,22",5.656854,improved_ours,True,5.656854,0,5,0.0919,True
exp_v1_rerun,dao,arena,49x49,0.1445,13,"36,18","40,22",5.656854,ablation_no_adapt,True,5.656854,0,5,0.0569,True
exp_v1_rerun,dao,arena,49x49,0.1445,13,"36,18","40,22",5.656854,ablation_no_smooth,True,5.656854,0,5,0.0895,True
exp_v1_rerun,dao,arena,49x49,0.1445,14,"42,28","41,24",4.414214,dijkstra,True,4.414214,1,55,0.3421,True
exp_v1_rerun,dao,arena,49x49,0.1445,14,"42,28","41,24",4.414214,astar_euclidean,True,4.414214,2,5,0.0401,True
exp_v1_rerun,dao,arena,49x49,0.1445,14,"42,28","41,24",4.414214,astar_octile,True,4.414214,1,5,0.0464,True
exp_v1_rerun,dao,arena,49x49,0.1445,14,"42,28","41,24",4.414214,weighted_1.2,True,4.414214,1,5,0.0458,True
exp_v1_rerun,dao,arena,49x49,0.1445,14,"42,28","41,24",4.414214,improved_ours,True,4.123106,0,5,0.0816,True
exp_v1_rerun,dao,arena,49x49,0.1445,14,"42,28","41,24",4.414214,ablation_no_adapt,True,4.123106,0,5,0.0474,True
exp_v1_rerun,dao,arena,49x49,0.1445,14,"42,28","41,24",4.414214,ablation_no_smooth,True,4.414214,1,5,0.0790,True
exp_v1_rerun,dao,arena,49x49,0.1445,15,"14,41","16,45",4.828427,dijkstra,True,4.828427,1,67,0.4368,True
exp_v1_rerun,dao,arena,49x49,0.1445,15,"14,41","16,45",4.828427,astar_euclidean,True,4.828427,2,9,0.0700,True
exp_v1_rerun,dao,arena,49x49,0.1445,15,"14,41","16,45",4.828427,astar_octile,True,4.828427,1,9,0.0903,True
exp_v1_rerun,dao,arena,49x49,0.1445,15,"14,41","16,45",4.828427,weighted_1.2,True,4.828427,1,5,0.0669,True
exp_v1_rerun,dao,arena,49x49,0.1445,15,"14,41","16,45",4.828427,improved_ours,True,4.472136,0,5,0.0865,True
exp_v1_rerun,dao,arena,49x49,0.1445,15,"14,41","16,45",4.828427,ablation_no_adapt,True,4.472136,0,9,0.0743,True
exp_v1_rerun,dao,arena,49x49,0.1445,15,"14,41","16,45",4.828427,ablation_no_smooth,True,4.828427,1,5,0.0857,True
exp_v1_rerun,dao,arena,49x49,0.1445,16,"39,25","43,27",4.828427,dijkstra,True,4.828427,1,69,0.4184,True
exp_v1_rerun,dao,arena,49x49,0.1445,16,"39,25","43,27",4.828427,astar_euclidean,True,4.828427,2,9,0.0682,True
exp_v1_rerun,dao,arena,49x49,0.1445,16,"39,25","43,27",4.828427,astar_octile,True,4.828427,1,9,0.0740,True
exp_v1_rerun,dao,arena,49x49,0.1445,16,"39,25","43,27",4.828427,weighted_1.2,True,4.828427,1,5,0.0479,True
exp_v1_rerun,dao,arena,49x49,0.1445,16,"39,25","43,27",4.828427,improved_ours,True,4.472136,0,5,0.1093,True
exp_v1_rerun,dao,arena,49x49,0.1445,16,"39,25","43,27",4.828427,ablation_no_adapt,True,4.472136,0,9,0.0745,True
exp_v1_rerun,dao,arena,49x49,0.1445,16,"39,25","43,27",4.828427,ablation_no_smooth,True,4.828427,1,5,0.0852,True
exp_v1_rerun,dao,arena,49x49,0.1445,17,"12,31","9,26",6.242641,dijkstra,True,6.242641,1,95,0.6000,True
