map_name,algorithm,n_total,n_success,n_timeout,timeout_rate,path_length_mean,path_length_std,turn_count_mean,expanded_mean,search_ms_mean,total_ms_mean,success_rate,collision_free_rate
dustwallowkeys,astar_octile,20,20,0,0.0000,341.906237,2.301459,17.4000,15270.55,136.1284,136.1284,1.0000,1.0000
dustwallowkeys,dijkstra,20,20,0,0.0000,341.906237,2.301459,13.2500,121601.10,841.4592,841.4592,1.0000,1.0000
dustwallowkeys,improved_ours,20,20,0,0.0000,331.264363,6.174608,10.2500,5435.20,71.8494,77.7711,1.0000,1.0000
dustwallowkeys,weighted_1.2,20,20,0,0.0000,350.679239,7.745025,37.5500,6950.45,62.1664,62.1664,1.0000,1.0000
orz100d,ablation_no_adapt,20,20,0,0.0000,469.592508,4.006788,32.4000,39011.15,307.5835,311.8419,1.0000,1.0000
orz100d,ablation_no_smooth,20,20,0,0.0000,511.598539,14.779454,118.1500,32826.20,394.8248,394.8248,1.0000,1.0000
orz100d,astar_euclidean,20,20,0,0.0000,488.309451,2.175291,84.7000,42237.45,306.2613,306.2613,1.0000,1.0000
orz100d,astar_octile,20,20,0,0.0000,488.309451,2.175291,60.5000,39011.15,313.2878,313.2878,1.0000,1.0000
orz100d,dijkstra,20,20,0,0.0000,488.309451,2.175291,55.3000,72685.20,471.5500,471.5500,1.0000,1.0000
orz100d,improved_ours,20,20,0,0.0000,472.328539,5.358043,37.2000,32826.20,393.7062,397.6793,1.0000,1.0000
orz100d,weighted_1.2,20,20,0,0.0000,493.747781,4.652987,81.8500,33472.20,277.1621,277.1621,1.0000,1.0000
ost003d,ablation_no_adapt,20,20,0,0.0000,157.536977,2.206556,9.1500,4345.10,30.8072,32.2193,1.0000,1.0000
ost003d,ablation_no_smooth,20,20,0,0.0000,172.502814,5.255685,37.5500,3440.15,36.5367,36.5367,1.0000,1.0000
ost003d,astar_euclidean,20,20,0,0.0000,166.163474,2.530324,31.2500,5031.45,33.5963,33.5963,1.0000,1.0000
ost003d,astar_octile,20,20,0,0.0000,166.163474,2.530324,22.3000,4345.10,30.6461,30.6461,1.0000,1.0000
ost003d,dijkstra,20,20,0,0.0000,166.163474,2.530324,19.3500,9467.95,55.0618,55.0618,1.0000,1.0000
ost003d,improved_ours,20,20,0,0.0000,158.276059,2.420630,11.1000,3440.15,35.8258,36.9054,1.0000,1.0000
ost003d,weighted_1.2,20,20,0,0.0000,167.859668,3.085154,24.8000,3554.60,24.9063,24.9063,1.0000,1.0000
