run_id,map_type,map_name,obstacle_ratio,task_id,start,goal,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1,dao,arena,0.1445,10,"18,20","16,25",5.828427,astar_euclidean,True,5.828427,4,10,0.0765,True
exp_v1,dao,arena,0.1445,10,"18,20","16,25",5.828427,astar_octile,True,5.828427,1,6,0.0762,True
exp_v1,dao,arena,0.1445,10,"18,20","16,25",5.828427,weighted_1.2,True,5.828427,1,6,0.0575,True
exp_v1,dao,arena,0.1445,10,"18,20","16,25",5.828427,improved_ours,True,5.385165,0,6,0.0999,True
exp_v1,dao,arena,0.1445,10,"18,20","16,25",5.828427,ablation_no_adapt,True,5.385165,0,6,0.0815,True
exp_v1,dao,arena,0.1445,10,"18,20","16,25",5.828427,ablation_no_smooth,True,5.828427,1,6,0.0985,True
exp_v1,dao,arena,0.1445,11,"28,25","30,21",4.828427,dijkstra,True,4.828427,1,66,0.4156,True
exp_v1,dao,arena,0.1445,11,"28,25","30,21",4.828427,astar_euclidean,True,4.828427,2,7,0.0582,True
exp_v1,dao,arena,0.1445,11,"28,25","30,21",4.828427,astar_octile,True,4.828427,1,7,0.0694,True
exp_v1,dao,arena,0.1445,11,"28,25","30,21",4.828427,weighted_1.2,True,4.828427,1,5,0.0565,True
exp_v1,dao,arena,0.1445,11,"28,25","30,21",4.828427,improved_ours,True,4.472136,0,5,0.0864,True
exp_v1,dao,arena,0.1445,11,"28,25","30,21",4.828427,ablation_no_adapt,True,4.472136,0,7,0.0859,True
exp_v1,dao,arena,0.1445,11,"28,25","30,21",4.828427,ablation_no_smooth,True,4.828427,1,5,0.0878,True
exp_v1,dao,arena,0.1445,12,"9,11","3,15",7.656854,dijkstra,True,7.656854,1,163,1.2690,True
exp_v1,dao,arena,0.1445,12,"9,11","3,15",7.656854,astar_euclidean,True,7.656854,4,10,0.0893,True
exp_v1,dao,arena,0.1445,12,"9,11","3,15",7.656854,astar_octile,True,7.656854,1,7,0.0735,True
exp_v1,dao,arena,0.1445,12,"9,11","3,15",7.656854,weighted_1.2,True,7.656854,1,7,0.0707,True
exp_v1,dao,arena,0.1445,12,"9,11","3,15",7.656854,improved_ours,True,7.211103,0,7,0.1281,True
exp_v1,dao,arena,0.1445,12,"9,11","3,15",7.656854,ablation_no_adapt,True,7.211103,0,7,0.0879,True
exp_v1,dao,arena,0.1445,12,"9,11","3,15",7.656854,ablation_no_smooth,True,7.656854,1,7,0.1417,True
exp_v1,dao,arena,0.1445,13,"36,18","40,22",5.656854,dijkstra,True,5.656854,0,78,0.4598,True
exp_v1,dao,arena,0.1445,13,"36,18","40,22",5.656854,astar_euclidean,True,5.656854,0,5,0.0439,True
exp_v1,dao,arena,0.1445,13,"36,18","40,22",5.656854,astar_octile,True,5.656854,0,5,0.0512,True
exp_v1,dao,arena,0.1445,13,"36,18","40,22",5.656854,weighted_1.2,True,5.656854,0,5,0.0486,True
exp_v1,dao,arena,0.1445,13,"36,18","40,22",5.656854,improved_ours,True,5.656854,0,5,0.0890,True
exp_v1,dao,arena,0.1445,13,"36,18","40,22",5.656854,ablation_no_adapt,True,5.656854,0,5,0.0496,True
exp_v1,dao,arena,0.1445,13,"36,18","40,22",5.656854,ablation_no_smooth,True,5.656854,0,5,0.1156,True
exp_v1,dao,arena,0.1445,14,"42,28","41,24",4.414214,dijkstra,True,4.414214,1,55,0.3365,True
exp_v1,dao,arena,0.1445,14,"42,28","41,24",4.414214,astar_euclidean,True,4.414214,2,5,0.0418,True
exp_v1,dao,arena,0.1445,14,"42,28","41,24",4.414214,astar_octile,True,4.414214,1,5,0.0467,True
exp_v1,dao,arena,0.1445,14,"42,28","41,24",4.414214,weighted_1.2,True,4.414214,1,5,0.0448,True
exp_v1,dao,arena,0.1445,14,"42,28","41,24",4.414214,improved_ours,True,4.123106,0,5,0.0802,True
exp_v1,dao,arena,0.1445,14,"42,28","41,24",4.414214,ablation_no_adapt,True,4.123106,0,5,0.0469,True
exp_v1,dao,arena,0.1445,14,"42,28","41,24",4.414214,ablation_no_smooth,True,4.414214,1,5,0.0892,True
exp_v1,dao,arena,0.1445,15,"14,41","16,45",4.828427,dijkstra,True,4.828427,1,67,0.4407,True
exp_v1,dao,arena,0.1445,15,"14,41","16,45",4.828427,astar_euclidean,True,4.828427,2,9,0.0743,True
exp_v1,dao,arena,0.1445,15,"14,41","16,45",4.828427,astar_octile,True,4.828427,1,9,0.0758,True
exp_v1,dao,arena,0.1445,15,"14,41","16,45",4.828427,weighted_1.2,True,4.828427,1,5,0.0482,True
exp_v1,dao,arena,0.1445,15,"14,41","16,45",4.828427,improved_ours,True,4.472136,0,5,0.0864,True
exp_v1,dao,arena,0.1445,15,"14,41","16,45",4.828427,ablation_no_adapt,True,4.472136,0,9,0.0756,True
exp_v1,dao,arena,0.1445,15,"14,41","16,45",4.828427,ablation_no_smooth,True,4.828427,1,5,0.0858,True
exp_v1,dao,arena,0.1445,16,"39,25","43,27",4.828427,dijkstra,True,4.828427,1,69,0.4432,True
