run_id,map_type,map_name,obstacle_ratio,task_id,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1_longpath,street,Berlin_0_256,0.2653,2,371.073160,astar_euclidean,True,371.073160,100,18233,137.5383,True
exp_v1_longpath,street,Berlin_0_256,0.2653,2,371.073160,astar_octile,True,371.073160,106,15463,122.0438,True
exp_v1_longpath,street,Berlin_0_256,0.2653,2,371.073160,weighted_1.2,True,374.386868,85,10585,94.4200,True
exp_v1_longpath,street,Berlin_0_256,0.2653,2,371.073160,improved_ours,True,351.266189,9,9867,128.6478,True
exp_v1_longpath,street,Berlin_0_256,0.2653,2,371.073160,ablation_no_adapt,True,352.841465,7,15463,137.1978,True
exp_v1_longpath,street,Berlin_0_256,0.2653,2,371.073160,ablation_no_smooth,True,379.516811,80,9867,133.5940,True
exp_v1_longpath,street,Berlin_0_256,0.2653,3,370.173665,astar_euclidean,True,370.173665,97,13465,112.5416,True
exp_v1_longpath,street,Berlin_0_256,0.2653,3,370.173665,astar_octile,True,370.173665,40,8945,88.4707,True
exp_v1_longpath,street,Berlin_0_256,0.2653,3,370.173665,weighted_1.2,True,373.487373,37,4683,36.9460,True
exp_v1_longpath,street,Berlin_0_256,0.2653,3,370.173665,improved_ours,True,351.881168,7,5860,80.3008,True
exp_v1_longpath,street,Berlin_0_256,0.2653,3,370.173665,ablation_no_adapt,True,352.358656,5,8945,90.8917,True
exp_v1_longpath,street,Berlin_0_256,0.2653,3,370.173665,ablation_no_smooth,True,403.730014,114,5860,77.8383,True
exp_v1_longpath,street,Berlin_0_256,0.2653,4,370.114790,astar_euclidean,True,370.114790,113,12106,98.2019,True
exp_v1_longpath,street,Berlin_0_256,0.2653,4,370.114790,astar_octile,True,370.114790,40,7907,76.1081,True
exp_v1_longpath,street,Berlin_0_256,0.2653,4,370.114790,weighted_1.2,True,370.114790,25,3387,27.5673,True
exp_v1_longpath,street,Berlin_0_256,0.2653,4,370.114790,improved_ours,True,351.854490,8,4604,63.6959,True
exp_v1_longpath,street,Berlin_0_256,0.2653,4,370.114790,ablation_no_adapt,True,351.335996,5,7907,66.5598,True
exp_v1_longpath,street,Berlin_0_256,0.2653,4,370.114790,ablation_no_smooth,True,404.700577,82,4604,57.5020,True
exp_v1_longpath,street,Berlin_0_512,0.2498,0,746.803174,astar_euclidean,True,746.803174,176,84164,858.8795,True
exp_v1_longpath,street,Berlin_0_512,0.2498,0,746.803174,astar_octile,True,746.803174,72,48814,450.4466,True
exp_v1_longpath,street,Berlin_0_512,0.2498,0,746.803174,weighted_1.2,True,753.430591,25,57883,630.4356,True
exp_v1_longpath,street,Berlin_0_512,0.2498,0,746.803174,improved_ours,True,771.734062,5,37921,620.3152,True
exp_v1_longpath,street,Berlin_0_512,0.2498,0,746.803174,ablation_no_adapt,True,708.378167,6,48814,446.8563,True
exp_v1_longpath,street,Berlin_0_512,0.2498,0,746.803174,ablation_no_smooth,True,852.844805,311,37921,599.5465,True
exp_v1_longpath,street,Berlin_0_512,0.2498,1,746.501659,astar_euclidean,True,746.501659,207,48507,426.8069,True
exp_v1_longpath,street,Berlin_0_512,0.2498,1,746.501659,astar_octile,True,746.501659,58,31283,334.7628,True
exp_v1_longpath,street,Berlin_0_512,0.2498,1,746.501659,weighted_1.2,True,747.330086,51,13224,123.1858,True
exp_v1_longpath,street,Berlin_0_512,0.2498,1,746.501659,improved_ours,True,709.620317,9,12561,182.4515,True
exp_v1_longpath,street,Berlin_0_512,0.2498,1,746.501659,ablation_no_adapt,True,709.751684,5,31283,326.5296,True
exp_v1_longpath,street,Berlin_0_512,0.2498,1,746.501659,ablation_no_smooth,True,794.969696,114,12561,169.5685,True
exp_v1_longpath,street,Berlin_0_512,0.2498,2,746.288455,astar_euclidean,True,746.288455,157,86853,724.2652,True
exp_v1_longpath,street,Berlin_0_512,0.2498,2,746.288455,astar_octile,True,746.288455,155,81247,952.8245,True
exp_v1_longpath,street,Berlin_0_512,0.2498,2,746.288455,weighted_1.2,True,752.087445,181,73617,862.6652,True
exp_v1_longpath,street,Berlin_0_512,0.2498,2,746.288455,improved_ours,True,709.055857,9,72098,1183.3318,True
exp_v1_longpath,street,Berlin_0_512,0.2498,2,746.288455,ablation_no_adapt,True,707.631570,7,81247,928.0658,True
exp_v1_longpath,street,Berlin_0_512,0.2498,2,746.288455,ablation_no_smooth,True,764.690476,220,72098,1192.4783,True
exp_v1_longpath,street,Berlin_0_512,0.2498,3,746.075252,astar_euclidean,True,746.075252,150,87998,853.4045,True
exp_v1_longpath,street,Berlin_0_512,0.2498,3,746.075252,astar_octile,True,746.075252,90,57128,550.2669,True
exp_v1_longpath,street,Berlin_0_512,0.2498,3,746.075252,weighted_1.2,True,818.744299,137,59711,646.4057,True
exp_v1_longpath,street,Berlin_0_512,0.2498,3,746.075252,improved_ours,True,765.761813,5,37905,586.9129,True
