map_name,algorithm,n_total,n_success,n_timeout,timeout_rate,path_length_mean,path_length_std,turn_count_mean,expanded_mean,search_ms_mean,total_ms_mean,success_rate,collision_free_rate
brc503d,dijkstra,20,20,0,0.0000,192.041187,2.270357,17.3500,26227.95,168.3531,168.3531,1.0000,1.0000
brc503d,improved_ours,20,20,0,0.0000,186.816582,4.907937,10.0500,2061.25,25.2003,27.2776,1.0000,1.0000
brc503d,weighted_1.2,20,20,0,0.0000,196.051951,4.914819,29.9500,2410.70,21.8826,21.8826,1.0000,1.0000
darkforest,ablation_no_adapt,20,20,0,0.0000,176.093529,3.249610,5.8500,4351.45,36.2530,38.2930,1.0000,1.0000
darkforest,ablation_no_smooth,20,20,0,0.0000,192.206219,6.015626,33.8500,2084.45,25.4575,25.4575,1.0000,1.0000
darkforest,astar_euclidean,20,20,0,0.0000,185.127539,2.608216,26.5000,5615.80,42.7127,42.7127,1.0000,1.0000
darkforest,astar_octile,20,20,0,0.0000,185.127539,2.608216,15.7500,4351.45,34.8849,34.8849,1.0000,1.0000
darkforest,dijkstra,20,20,0,0.0000,185.127539,2.608216,10.5000,38699.35,252.7428,252.7428,1.0000,1.0000
darkforest,improved_ours,20,20,0,0.0000,176.989460,4.968953,7.5000,2084.45,25.0039,27.0546,1.0000,1.0000
darkforest,weighted_1.2,20,20,0,0.0000,186.333784,3.412972,18.0500,2212.95,19.2863,19.2863,1.0000,1.0000
den502d,ablation_no_adapt,20,20,0,0.0000,81.870491,2.999805,1.2500,465.85,3.6564,4.8318,1.0000,1.0000
den502d,ablation_no_smooth,20,20,0,0.0000,87.626407,3.590527,9.5500,238.35,2.8591,2.8591,1.0000,1.0000
den502d,astar_euclidean,20,20,0,0.0000,85.463665,2.223482,15.7500,1054.95,8.5736,8.5736,1.0000,1.0000
den502d,astar_octile,20,20,0,0.0000,85.463665,2.223482,5.6500,465.85,3.7040,3.7040,1.0000,1.0000
den502d,dijkstra,20,20,0,0.0000,85.463665,2.223482,4.7000,8931.45,53.1706,53.1706,1.0000,1.0000
den502d,improved_ours,20,20,0,0.0000,81.838665,3.035608,1.8500,238.35,2.8488,3.7886,1.0000,1.0000
den502d,weighted_1.2,20,20,0,0.0000,86.167828,2.653958,5.6000,244.45,2.2624,2.2624,1.0000,1.0000
dustwallowkeys,ablation_no_adapt,20,20,0,0.0000,199.678170,4.486429,4.8000,5413.65,46.8090,50.0205,1.0000,1.0000
dustwallowkeys,ablation_no_smooth,20,20,0,0.0000,216.341353,5.998291,32.1500,2069.15,25.4436,25.4436,1.0000,1.0000
dustwallowkeys,astar_euclidean,20,20,0,0.0000,206.942720,2.328005,27.1000,7095.35,54.1417,54.1417,1.0000,1.0000
dustwallowkeys,astar_octile,20,20,0,0.0000,206.942720,2.328005,13.0500,5413.65,47.2930,47.2930,1.0000,1.0000
dustwallowkeys,dijkstra,20,20,0,0.0000,206.942720,2.328005,9.2000,65805.00,458.7425,458.7425,1.0000,1.0000
