map_name,algorithm,n,path_length_mean,path_length_std,turn_count_mean,turn_count_std,expanded_mean,expanded_std,runtime_mean,runtime_std,success_rate,collision_free_rate
Berlin_1_1024,ablation_no_adapt,50,9.5276221,5.630314411050095,0.02,0.13999999999999999,17.1,17.435882541471766,0.169404,0.16100375145939924,1.0,1.0
Berlin_1_1024,ablation_no_smooth,50,9.99719918,5.910049915483083,0.78,0.756042326857432,9.68,5.139805443788704,0.179276,0.10098016351739583,1.0,1.0
Berlin_1_1024,astar_euclidean,50,9.99719918,5.910049915483083,2.86,3.249676907017065,23.6,22.540629982323033,0.198874,0.17982457652946107,1.0,1.0
Berlin_1_1024,astar_octile,50,9.99719918,5.910049915483083,1.62,1.5085091978506462,17.1,17.435882541471766,0.167046,0.1483345802029992,1.0,1.0
Berlin_1_1024,dijkstra,50,9.99719918,5.910049915483083,1.24,1.123565752415051,350.3,320.2483567483212,2.666232,2.6796638929865813,1.0,1.0
Berlin_1_1024,improved_ours,50,9.5276221,5.630314411050095,0.02,0.13999999999999999,9.68,5.139805443788704,0.19218,0.09720985546743705,1.0,1.0
Berlin_1_1024,weighted_1.2,50,9.99719918,5.910049915483083,0.78,0.756042326857432,9.68,5.139805443788704,0.10217399999999997,0.05695198964039799,1.0,1.0
Berlin_1_256,ablation_no_adapt,50,9.52900576,5.479681137587265,0.02,0.13999999999999999,15.96,15.621728457504311,0.14662,0.12786366332934468,1.0,1.0
Berlin_1_256,ablation_no_smooth,50,10.04631612,5.7425822692695405,0.98,0.5473572873361604,9.7,5.135172830587107,0.16325,0.08986502378567537,1.0,1.0
Berlin_1_256,astar_euclidean,50,10.04631612,5.7425822692695405,3.08,2.784528685433138,23.34,22.075878238475585,0.18026999999999999,0.16427538981843873,1.0,1.0
Berlin_1_256,astar_octile,50,10.04631612,5.7425822692695405,1.46,1.043264108459598,15.96,15.621728457504311,0.150328,0.13118977252819672,1.0,1.0
Berlin_1_256,dijkstra,50,10.04631612,5.7425822692695405,1.48,1.0244998779892558,323.16,309.75018062948726,2.2573360000000005,2.60120803149306,1.0,1.0
Berlin_1_256,improved_ours,50,9.52900576,5.479681137587265,0.02,0.13999999999999999,9.7,5.135172830587107,0.166408,0.0884476180346311,1.0,1.0
Berlin_1_256,weighted_1.2,50,10.04631612,5.7425822692695405,0.98,0.5473572873361604,9.62,5.0195218895827125,0.09333999999999999,0.050197398338957776,1.0,1.0
arena,ablation_no_adapt,50,9.546873860000002,5.491296078251184,0.08,0.2712931993250107,16.42,15.963821597599992,0.15257199999999999,0.13614499041830366,1.0,1.0
arena,ablation_no_smooth,50,10.03259026,5.725665569931327,1.2,0.9591663046625439,9.52,5.012943247235101,0.172196,0.09747021280370738,1.0,1.0
arena,astar_euclidean,50,10.03259026,5.725665569931327,2.66,2.5346400138875738,22.18,19.95363626009054,0.3555380000000001,1.2908715878645716,1.0,1.0
arena,astar_octile,50,10.03259026,5.725665569931327,1.56,1.3290598180668918,16.42,15.963821597599992,0.162674,0.16008085433305258,1.0,1.0
arena,dijkstra,50,10.03259026,5.725665569931327,1.32,0.9042123644365854,286.66,257.5147848182702,1.914882,1.825561853533317,1.0,1.0
arena,improved_ours,50,9.54838106,5.490773846440027,0.08,0.3370459909270544,9.52,5.012943247235101,0.171808,0.09200822754514947,1.0,1.0
arena,weighted_1.2,50,10.03259026,5.725665569931327,0.94,0.58,9.52,5.012943247235101,0.09888200000000001,0.057631677712868985,1.0,1.0
arena2,ablation_no_adapt,50,9.893785359999999,5.398150996005138,0.12,0.32496153618543844,18.64,16.285895738337516,0.17575400000000002,0.13500971847981907,1.0,1.0
arena2,ablation_no_smooth,50,10.37116888,5.662956927441736,1.04,0.7735631842325486,10.16,5.224404272259182,0.18217399999999997,0.09701064850829522,1.0,1.0
arena2,astar_euclidean,50,10.37116888,5.662956927441736,2.66,2.4787900274125683,24.24,20.56070037717587,0.19019399999999997,0.15039706168672315,1.0,1.0
arena2,astar_octile,50,10.37116888,5.662956927441736,1.64,1.3078226179417451,18.64,16.285895738337516,0.174102,0.13528182803318411,1.0,1.0
arena2,dijkstra,50,10.37116888,5.662956927441736,1.4,1.0770329614269007,313.34,272.9036174183113,2.0896939999999997,1.8608219744414025,1.0,1.0
arena2,improved_ours,50,9.89944424,5.407595564809493,0.12,0.32496153618543844,10.16,5.224404272259182,0.18421400000000004,0.08873541797951932,1.0,1.0
arena2,weighted_1.2,50,10.37116888,5.662956927441736,0.96,0.6916646586316233,10.06,5.096704817821021,0.10382199999999997,0.054439383868666265,1.0,1.0
battleground,ablation_no_adapt,50,10.108181100000001,5.543606096620662,0.1,0.41231056256176607,17.08,16.125557354708707,0.16473400000000002,0.14254231176741872,1.0,1.0
battleground,ablation_no_smooth,50,10.564306020000002,5.758701082949385,0.9,0.7280109889280518,10.56,6.129143496443855,0.18104199999999998,0.09368871456050618,1.0,1.0
battleground,astar_euclidean,50,10.564306020000002,5.758701082949385,2.56,2.954048070021881,22.78,21.028827832287753,0.18157599999999996,0.15464496701800548,1.0,1.0
battleground,astar_octile,50,10.564306020000002,5.758701082949385,1.4,1.1661903789690602,17.08,16.125557354708707,0.16294200000000003,0.14264993247807722,1.0,1.0
